ID,Lat,Long,_Prod_IDWmean,_Prod_Krigmean
"1744",7623584.667,523733.743,12.4216623306274,12.7856028403246
"1745",7623584.667,523743.717,12.5621223449707,12.7961303840737
"1746",7623584.667,523753.692,12.531397819519,12.6655478472345
"1747",7623584.667,523763.666,12.2456569671631,12.4457650913564
"1748",7623584.667,523773.640,12.2395972988252,12.218071305988
"1749",7623584.667,523783.615,12.0930633544922,12.0149592914245
"1750",7623584.667,523793.589,11.9645737381931,11.8679262417066
"1751",7623584.667,523803.563,11.9397602081299,11.886077473573
"1752",7623584.667,523813.537,11.7735188880282,11.9888198367896
"1753",7623584.667,523823.512,12.2277912760793,12.0518810654744
"1754",7623584.667,523833.486,12.1240186691284,12.0973755537019
"1755",7623584.667,523843.460,12.2736730575562,12.2058401068034
"1756",7623584.667,523853.434,12.4156188964844,12.3720558491669
"1757",7623584.667,523863.409,12.1418800354004,12.5041154818021
"1758",7623584.667,523873.383,12.4538892845759,12.5982477678847
"1759",7623584.667,523883.357,12.5335210183708,12.6154550678475
"1760",7623584.667,523893.331,12.4045759618167,12.5700007646466
"1761",7623584.667,523903.306,12.3354587554932,12.5028019663191
"1762",7623584.667,523913.280,12.3902549268375,12.4012093287527
"1763",7623584.667,523923.254,12.186580590759,12.3314416120653
"1764",7623584.667,523933.228,12.3669166564941,12.2939212215948
"1765",7623584.667,523943.203,12.2997835704993,12.3006970596252
"1766",7623584.667,523953.177,12.272084652346,12.3402371689662
"1767",7623584.667,523963.151,12.5507593154907,12.3583084782185
"1768",7623584.667,523973.126,12.1641366426694,12.3512976445812
"1769",7623584.667,523983.100,12.1145142735824,12.2958896286912
"1770",7623584.667,523993.074,12.0987872436552,12.2440323483072
"1771",7623584.667,524003.048,12.0857524460787,12.2709728455365
"1772",7623584.667,524013.023,12.4654015567134,12.310370530221
"1773",7623584.667,524022.997,12.2525243759155,12.2380158111143
"1774",7623584.667,524032.971,11.875714302063,12.085435086044
"1775",7623584.667,524042.945,11.9650782218227,11.8815129282842
"1776",7623584.667,524052.920,11.9382133483887,11.6713262144176
"1777",7623584.667,524062.894,11.7772359848022,11.5582592723901
"1778",7623584.667,524072.868,11.8821164833208,11.4955801284619
"1779",7623584.667,524082.842,11.1397755495092,11.4699381573282
"1780",7623584.667,524092.817,11.777398109436,11.4753952168037
"1781",7623584.667,524102.791,11.6365848132583,11.5084475576955
"1782",7623584.667,524112.765,11.5506687164307,11.6287968796497
"1783",7623584.667,524122.740,11.8712797164917,11.982297431066
"1784",7623584.667,524132.714,12.4226970672607,12.3079329882101
"1785",7623584.667,524142.688,11.9594135284424,12.2072497319053
"1786",7623584.667,524152.662,11.9234676361084,11.9329516249702
"1787",7623584.667,524162.637,11.6295241264724,11.6968695223756
"1788",7623584.667,524172.611,11.6082691636121,11.5865395830535
"1789",7623584.667,524182.585,11.6948938369751,11.6490913471934
"1790",7623584.667,524192.559,12.037644510217,11.8391297157656
"1791",7623584.667,524202.534,12.0628550817775,12.1395331261563
"1792",7623584.667,524212.508,12.1269216537476,12.4366936615984
"1793",7623584.667,524222.482,12.3125829696655,12.5479092232512
"1794",7623584.667,524232.456,12.2732915878296,12.5245259509715
"1795",7623584.667,524242.431,12.1402311325073,12.3820858517243
"1796",7623584.667,524252.405,12.241060256958,12.2535687491739
"1797",7623584.667,524262.379,12.404704518352,12.2511101567123
"1798",7623584.667,524272.353,12.2970380783081,12.2687132535017
"1799",7623584.667,524282.328,12.5210475921631,12.1610831900357
"1800",7623584.667,524292.302,11.8364112965686,11.9640151395949
"1801",7623584.667,524302.276,11.7998808691631,11.7375586534663
"1802",7623584.667,524312.251,11.5830318076312,11.543459104295
"1803",7623584.667,524322.225,11.4202097802993,11.4237904998456
"1804",7623584.667,524332.199,11.9810011139088,11.3309215675847
"1805",7623584.667,524342.173,11.6364488601685,11.2187869087603
"1806",7623574.708,523653.949,11.9736223220825,11.5595150150366
"1807",7623574.708,523663.923,11.9767837575653,11.5742707675545
"1808",7623574.708,523673.898,11.9778261184692,11.695550001288
"1809",7623574.708,523683.872,11.9009637832642,11.9526744106165
"1810",7623574.708,523693.846,12.2387718749375,12.26843464963
"1811",7623574.708,523703.820,12.3275368406949,12.405246362349
"1812",7623574.708,523713.795,12.3559750701949,12.4234773850282
