ID,Lat,Long,_Declivmean,_IPTmean,_IRTmean,_Rugosmean,_Sombrmean
"143",7671075.124,407938.706,837048.375,0,5.65685415267944,6,28
"144",7671075.124,407948.669,837048.375,0,5.65685415267944,6,28
"145",7671075.124,407958.632,644851.124029754,0,4.680901265325,5.17621511735354,52.7135464793938
"146",7671075.124,407968.596,603738.375,0,4.4721360206604,5,58
"147",7671065.184,407769.329,568252.921858809,0.967382731286837,4.77909994339377,3.7390618502947,54.951515071513
"148",7671065.184,407779.292,579326.952942356,0.913829889048031,4.84064262452289,3.9321879517118,43.8974436824701
"149",7671065.184,407789.255,628905.039204354,0.693884521711582,5.10876607437916,4.72789735263252,1
"150",7671065.184,407799.219,628686.438071336,0.687610141971764,5.10121383909897,4.72232012619712,1
"151",7671065.184,407809.182,590377.181519912,0.37939003220952,4.75738950856564,4.4147965783985,1
"152",7671065.184,407819.145,501878.173924486,-0.324946042809338,3.98454911748534,3.71115907305837,1
"153",7671065.184,407829.109,501435.8529846,-0.331220422549156,3.98923910927225,3.70558184662297,1
"154",7671065.184,407839.072,479511.773434148,-0.347557373586699,3.82889916026011,3.70000726039061,40.4730144481773
"155",7671065.184,407849.035,448337.968170827,-0.364587252242441,3.58904196288712,3.69443399402016,98.7228283468309
"156",7671065.184,407858.999,448728.945303064,-0.366677777264417,3.59132137048343,3.68885926062822,99.0461628835631
"157",7671065.184,407868.962,521882.028279673,0.0264555240942782,3.96418972479412,4.03061864311691,105.388669980001
"158",7671065.184,407878.925,591482.994695,0.411146606119809,4.31996978594773,4.35541357552076,111.256052485677
"159",7671065.184,407888.889,590706.997220462,0.413930855592737,4.31734069701438,4.34427657762905,111.295031978298
"160",7671065.184,407898.852,674831.638903648,0.671497026540028,5.14552461255383,5.1488710092603,67.0788676430792
"161",7671065.184,407908.816,727450.38028929,0.83049191797187,5.66470475754815,5.66098383594374,38.6760786487931
"162",7671065.184,407918.779,726177.348986935,0.827708767853843,5.65650004174448,5.65541753570769,38.3587995353381
"163",7671065.184,407928.742,752442.042496667,0.454094227291328,5.53901423457218,5.64984885087059,24.1007484852085
"164",7671065.184,407938.706,762248.63453085,0.311264091665127,5.49296847080157,5.64426960952557,18.3952794571904
"165",7671065.184,407948.669,761080.06206768,0.31612687118832,5.49040813711927,5.63871214721335,18.2452279747604
"166",7671065.184,407958.632,579033.96410895,0.0960436082583098,4.21507335841242,4.51494310531457,33.6433257649761
"167",7671065.184,407968.596,537880.951144584,0.0465539546027576,3.92386599286113,4.25513672635588,36.7713967011425
"168",7671065.184,407978.559,536895.594492943,0.0472504933700308,3.91566279438842,4.24399210607951,36.4537750232659
"169",7671055.243,407759.365,402492.25,0.875,3.87298345565796,3,1
"170",7671055.243,407769.329,402492.25,0.875,3.87298345565796,3,1
"171",7671055.243,407779.292,440712.273070564,0.681855083559944,3.92129326202828,3.19314491644006,1
"172",7671055.243,407789.255,600374.875,-0.125,4.12310552597046,4,1
"173",7671055.243,407799.219,600374.875,-0.125,4.12310552597046,4,1
"174",7671055.243,407809.182,554463.501797542,-0.421398233768291,4.25929170307933,3.70360176623171,1
"175",7671055.243,407819.145,445477.28125,-1.125,4.58257579803467,3,1
"176",7671055.243,407829.109,445477.28125,-1.125,4.58257579803467,3,1
"177",7671055.243,407839.072,466085.103092947,-0.925172268131056,4.29898334137725,3,56.1524539958286
"178",7671055.243,407849.035,497041.25,-0.625,3.87298345565796,3,139
"179",7671055.243,407858.999,497041.25,-0.625,3.87298345565796,3,139
"180",7671055.243,407868.962,497041.25,0.0665113922880942,3.93686228287366,3,127.432900347181
"181",7671055.243,407878.925,497041.25,0.75,4,3,116
"182",7671055.243,407888.889,497041.25,0.75,4,3,116
